,-277,803,272
7890,36,-921,210
7895,-12,239,257
7900,-177,855,238
7905,118,-281,203
7910,52,-893,220
7915,-47,168,253
7920,-174,898,253
7925,79,-171,186
7930,-10,-1002,174
7935,30,79,272
7940,-246,881,241
7945,83,-158,193
7950,-18,-951,160
7955,16,-2,252
7960,-235,927,232
7965,39,-78,206
7970,-63,-1024,153
7975,-63,-1024,153
7980,108,-53,296
7985,-272,880,229
7990,50,-72,202
7995,-38,-991,164
8000,46,-137,269
8005,-241,948,238
8010,28,20,242
8015,-68,-1024,156
[FEATURES] f0=-36040 f1=140159 f2=144718 f3=-314000 f4=258000 f5=572000 f6=112354 f7=-52355 f8=685367 f9=687363 f10=-1024000 f11=975000 f12=1999000 f13=583843 f14=241610 f15=50257 f16=246781 f17=150000 f18=362000 f19=212000 f20=40186
[SCALED_FEATURES] f0=-1297 f1=1496 f2=1555 f3=-2031 f4=1805 f5=1945 f6=1362 f7=-6102 f8=2968 f9=2985 f10=-3195 f11=2921 f12=3064 f13=2731 f14=-1772 f15=-20 f16=-756 f17=-244 f18=103 f19=171 f20=-85
[FEATURES_X] mean=-36040 std=140159 rms=144718 min=-314000 max=258000 p2p=572000 mad=112354
[FEATURES_Y] mean=-52355 std=685367 rms=687363 min=-1024000 max=975000 p2p=1999000 mad=583843
[FEATURES_Z] mean=241610 std=50257 rms=246781 min=150000 max=362000 p2p=212000 mad=40186
[CLASS] CLASS=rotor_unbalance ID=1 scores_x1000=[-8946,14200,-6553,1298]
[CLASS_STATS] condition=rotor_unbalance total_windows=8
predicted_count=[0,8,0,0]
correct_windows=8
accuracy_x1000=1000
current_prediction=1
[CLASS_TIMING] sample_interval_ms=5 window_acquisition_ms=894 feature_extract_ms=8 inference_ms=1 total_cycle_ms=969
8121,130,-254,303
8123,-235,951,257
8126,-235,951,257
8129,-14,92,262
8131,-14,92,262
8133,-14,92,262
8136,-67,-1014,167
8138,-67,-1014,167
8141,201,-241,327
8144,-232,888,264
8146,-232,888,264
8149,46,69,264
8151,46,69,264
8153,46,69,264
8156,-24,-1024,167
8158,-24,-1024,167
8161,84,-233,274
8163,84,-233,274
8166,-214,933,240
8169,-214,933,240
8171,16,57,244
8173,16,57,244
8176,-46,-1024,164
8178,-46,-1024,164
8181,187,-191,318
8184,187,-191,318
8186,-263,926,254
8189,-263,926,254
8191,33,52,244
8194,33,52,244
